Rank,City,Population
228,Wildomar,"37,229"
229,West Hollywood,"36,475"
230,Moorpark,"36,375"
231,Monrovia,"36,331"
232,Claremont,"36,266"
233,San Juan Capistrano,"35,911"
234,Temple City,"35,811"
235,Bell,"35,521"
236,Manhattan Beach,"35,183"
237,Pleasant Hill,"34,839"
238,Orangevale,"34,757"
239,Oildale,"34,723"
240,Menlo Park,"34,698"
241,Adelanto,"34,049"
242,Foster City,"33,901"
243,French Valley,"33,818"
244,Beverly Hills,"33,792"
245,Foothill Farms,"33,749"
246,Seaside,"33,748"
247,Westmont,"33,723"
248,San Dimas,"33,621"
249,Dana Point,"33,577"
250,Fallbrook,"33,021"
251,Lawndale,"32,389"
252,El Paso de Robles (Paso Robles),"32,153"
253,La Verne,"31,974"
254,Spring Valley CDP,"31,591"
255,Banning,"31,221"
256,Laguna Hills,"31,207"
257,Fair Oaks,"31,002"
258,San Pablo,"30,990"
259,Goleta,"30,911"
260,Burlingame,"30,889"
261,Orcutt,"30,493"
262,Ladera Ranch,"30,288"
263,Los Gatos,"30,222"
264,San Carlos,"30,185"
265,Saratoga,"30,153"
266,Los Altos,"30,089"
267,Atascadero,"30,075"
268,Santa Paula,"29,806"
269,Walnut,"29,685"
270,Suisun City,"29,663"
271,Atwater,"29,559"
272,East Palo Alto,"29,314"
273,Ridgecrest,"28,973"
274,Desert Hot Springs,"28,878"
275,Wasco,"28,710"
276,Vineyard,"28,315"
277,Benicia,"28,240"
278,Monterey,"28,178"
279,Isla Vista,"27,690"
280,Imperial Beach,"27,440"
281,West Whittier-Los Nietos,"27,144"
282,Windsor,"27,128"
283,Maywood,"26,973"
284,Belmont,"26,941"
285,Lemon Grove,"26,811"
286,Lemoore,"26,725"
287,Eureka,"26,710"
288,Temescal Valley,"26,709"
289,Lafayette,"26,638"
290,Norco,"26,604"
291,Galt,"26,536"
292,Hercules,"26,276"
293,Brawley,"26,227"
294,Twentynine Palms,"26,073"
295,Soledad,"25,999"
296,Reedley,"25,658"
297,El Cerrito city,"25,508"
298,San Lorenzo,"25,388"
299,Sanger,"25,339"
300,South Pasadena,"25,329"
301,Valinda,"25,296"
302,Bay Point,"25,165"
303,Riverbank,"24,881"
304,Selma,"24,825"
305,North Tustin,"24,736"
306,Lathrop,"24,483"
307,Loma Linda,"24,482"
308,Dinuba,"24,461"
309,San Fernando,"24,322"
310,Barstow,"23,915"
311,Seal Beach,"23,896"
312,Calabasas,"23,853"
313,Coronado,"23,731"
314,Ashland,"23,635"
315,West Puente Valley,"23,629"
316,Rosemont,"23,617"
317,Oakdale,"23,596"
318,Cudahy,"23,569"
319,Winter Gardens,"23,088"
320,West Rancho Dominguez,"22,932"
321,Laguna Beach,"22,827"
322,Marina,"22,781"
323,Lakeside,"22,560"
324,West Carson,"22,537"
325,Patterson,"22,524"
326,Granite Bay,"22,439"
327,Willowbrook,"22,402"
328,Millbrae,"22,394"
329,South Lake Tahoe,"22,197"
330,Corcoran,"21,960"
331,Port Hueneme,"21,926"
332,Arvin,"21,851"
333,Bloomington,"21,783"
334,Yucca Valley,"21,777"
335,Lennox,"21,329"
336,Rancho San Diego,"21,289"
337,Duarte,"21,271"
338,Oroville,"20,737"
339,Dixon,"20,698"
340,East Hemet,"20,679"
341,South San Jose Hills,"20,593"
342,South El Monte,"20,574"
343,American Canyon,"20,475"
344,Shafter,"20,401"
345,Lomita,"20,320"
346,Ramona,"20,260"
347,Agoura Hills,"20,222"
348,Rosamond,"20,028"
349,La Cañada Flintridge,"20,009"
350,Orinda,"19,926"
351,Mead Valley,"19,925"
352,Cameron Park,"19,902"
353,Albany,"19,696"
354,Blythe,"19,682"
355,Casa de Oro-Mount Helix,"19,635"
356,Prunedale,"19,584"
357,La Crescenta-Montrose,"19,500"
358,Stevenson Ranch,"19,364"
359,Hermosa Beach,"19,320"
360,Linda,"19,314"
361,Pinole,"19,250"
362,Castaic,"18,921"
363,Rancho Mirage,"18,528"
364,Arcata,"18,431"
365,Chowchilla,"18,310"
366,Imperial,"18,120"
367,Arroyo Grande,"17,976"
368,Moraga,"17,783"
369,Santa Fe Springs,"17,630"
370,Bostonia,"17,530"
371,Greenfield city,"17,516"
372,Nipomo,"17,445"
373,Live Oak,"17,390"
374,Woodcrest,"17,310"
375,Coalinga,"17,179"
376,Vincent,"17,008"
377,Valle Vista,"16,879"
378,Rosedale,"16,737"
379,Truckee,"16,735"
380,East Rancho Dominguez,"16,734"
381,McKinleyville,"16,612"
382,El Segundo,"16,610"
383,Artesia,"16,601"
384,Cherryland,"16,387"
385,Ripon,"16,386"
386,Los Osos,"16,292"
387,Walnut Park,"16,034"
388,Ukiah,"15,995"
389,Discovery Bay,"15,981"
390,East San Gabriel,"15,932"
391,Avocado Heights,"15,903"
392,Parkway,"15,885"
393,Fillmore,"15,870"
394,Laguna Woods,"15,850"
395,Stanford,"15,668"
396,Mountain House,"15,645"
397,Parlier,"15,618"
398,Phelan,"15,532"
399,McFarland,"15,506"
400,Rio Linda,"15,460"
401,La Palma,"15,428"
402,Pacific Grove,"15,413"
403,Alamo,"15,317"
404,Kerman,"15,282"
405,Clearlake,"15,267"
406,Alpine,"15,233"
407,Lamont,"15,222"
408,Susanville,"15,010"
409,Coto de Caza,"14,931"
410,Livingston,"14,896"
411,Salida,"14,658"
412,North Fair Oaks,"14,547"
413,Red Bluff,"14,539"
414,Mill Valley,"14,259"
415,California City,"14,198"
416,Auburn,"14,195"
417,Hawaiian Gardens,"14,159"
418,Lemon Hill,"14,096"
419,King City,"14,077"
420,El Sobrante CDP,"13,966"
421,El Sobrante,"13,736"
422,Oak Park,"13,730"
423,Muscoy,"13,726"
424,North Auburn,"13,707"
425,Sun Village,"13,516"
426,Avenal,"13,496"
427,Lindsay,"13,463"
428,Grover Beach,"13,459"
429,Carpinteria,"13,385"
430,Bonita,"13,324"
431,Big Bear City,"13,312"
432,Olivehurst,"13,309"
433,Solana Beach,"13,296"
434,Palos Verdes Estates,"13,273"
435,Lakeland Village,"13,170"
436,San Marino,"13,048"
437,Tehachapi,"13,011"
438,Half Moon Bay,"12,932"
439,Grass Valley,"12,817"
440,Magalia,"12,671"
441,Commerce,"12,661"
442,Grand Terrace,"12,584"
443 TIE,Marysville and San Anselmo,"12,476"
444,Clayton,"12,265"
445,Fortuna,"12,259"
446,Larkspur,"12,254"
447,Kingsburg,"12,108"
448,Emeryville,"12,086"
449,Diamond Springs,"11,989"
450,Healdsburg,"11,845"
451,Malibu,"11,820"
452,Alum Rock,"11,791"
453,Newman,"11,784"
454,Winton,"11,761"
455,Scotts Valley,"11,757"
456,Delhi,"11,735"
457,View Park-Windsor Hills,"11,580"
458,Mendota,"11,511"
459,Lake Los Angeles,"11,469"
460,Camp Pendleton South,"11,459"
461,Home Gardens,"11,442"
462,Signal Hill,"11,421"
463,Los Alamitos,"11,399"
464,Hillsborough,"11,387"
465,Canyon Lake,"11,280"
466,Tamalpais-Homestead Valley,"11,261"
467,Placerville,"11,175"
468,Rossmoor,"11,160"
469,Piedmont,"11,135"
470,Sonoma,"11,024"
471,Soquel,"10,862"
472,La Riviera,"10,851"
473,Sierra Madre,"10,793"
474,Citrus,"10,771"
475,Farmersville,"10,703"
476,Garden Acres,"10,701"
477,Anderson,"10,630"
478,Morro Bay,"10,543"
479,Exeter,"10,485"
480,Shasta Lake,"10,413"
481,Rodeo,"10,411"
482,East Whittier,"10,391"
483,San Diego Country Estates,"10,381"
484,Fairview,"10,299"
485,Orange Cove,"10,273"
486,Quartz Hill,"10,164"
487,Del Aire,"10,065"
488,Capitola,"10,010"
489,Madera Acres,"9,946"
490,Blackhawk,"9,860"
491,Mentone,"9,847"
492,Country Club,"9,846"
493,Rio del Mar,"9,775"
494,Marina del Rey,"9,771"
495,Lake Arrowhead,"9,765"
496,Charter Oak,"9,760"
497,Corte Madera,"9,751"
498,Rio Vista,"9,718"
499,Oak Hills,"9,700"
500,Golden Hills,"9,407"
501,Crestline,"9,381"
502,Taft,"9,272"
503,Good Hope,"9,173"
504,Calimesa,"9,160"
505,Fort Irwin,"9,086"
506,Tiburon,"9,084"
507,Valley Center,"9,059"
508,Bonadelle Ranchos-Madera Ranchos,"8,971"
509,Waterford,"8,962"
510,Larkfield-Wikiup,"8,926"
511,Live Oak city,"8,912"
512,Earlimart,"8,790"
513,August,"8,774"
514,Cloverdale,"8,656"
515,South San Gabriel,"8,643"
516,Montecito,"8,611"
517,West Athens,"8,574"
518,Ione,"8,568"
519,Los Altos Hills,"8,423"
520,Midway City,"8,374"
521,Gonzales,"8,306"
522,Firebaugh,"8,296"
523,Mammoth Lakes,"8,235"
524,Westlake Village,"8,217"
525,Pismo Beach,"8,168"
526,Alondra Park,"8,097"
527,Rolling Hills Estates,"8,058"
528,Templeton,"7,938"
529,Camp Pendleton North,"7,903"
530,Boyes Hot Springs,"7,863"
531,Vandenberg Village,"7,861"
532,Orland,"7,827"
533,Thousand Palms,"7,814"
534,Guadalupe,"7,783"
535,Cherry Valley,"7,755"
536,Spring Valley Lake,"7,744"
537,Corning,"7,710"
538,Oceano,"7,678"
539,Sebastopol,"7,674"
540,Woodlake,"7,658"
541,Piñon Hills,"7,592"
542,Escalon,"7,574"
543,Hughson,"7,565"
544,Gold River,"7,523"
545,Fairfax,"7,522"
546,Yreka,"7,518"
547,Ojai,"7,470"
548,Topanga,"7,449"
549,Orosi,"7,441"
550,Cotati,"7,410"
551,University of California-Davis,"7,379"
552,Oroville East,"7,368"
553,Plumas Lake,"7,367"
554,Homeland,"7,326"
555,Winters,"7,315"
556,Franklin CDP,"7,314"
557,Fort Bragg,"7,291"
558,Huron,"7,281"
559,Gridley,"7,246"
560,Alta Sierra,"7,207"
561,South Monrovia Island,"7,192"
562,Interlaken,"7,191"
563,Acton,"7,185"
564,Mecca,"7,174"
565,Atherton,"7,137"
566,Calipatria,"7,114"
567,Ladera Heights,"7,090"
568,Ben Lomond,"7,071"
569,Sausalito,"7,068"
570,Lemoore Station,"7,063"
571,Rancho Calaveras,"7,035"
572,Nuevo,"7,033"
573,San Martin,"7,010"
574,Joshua Tree,"6,980"
575,Desert Palms,"6,947"
576,Kentfield,"6,930"
577,Mira Monte,"6,912"
578,Pollock Pines,"6,905"
579,Loomis,"6,866"
580,Lake Mathews,"6,848"
581,Lucas Valley-Marinwood,"6,841"
582,Bermuda Dunes,"6,817"
583,Fowler,"6,790"
584,Crescent City,"6,787"
585,Thermalito,"6,704"
586,Castroville,"6,686"
587,East Porterville,"6,679"
588,Holtville,"6,621"
589,El Rio,"6,505"
590,Contra Costa Centre,"6,497"
591 TIE,Saranap and La Habra Heights,"6,492"
592,East Foothills,"6,278"
593,Pleasure Point,"6,277"
594,Fruitridge Pocket,"6,215"
595,Keyes,"6,185"
596,St. Helena,"6,102"
597,Willows,"6,072"
598,Colusa,"6,060"
599,Hidden Valley Lake,"6,044"
600,Eucalyptus Hills,"6,017"
601,East Pasadena,"5,971"
602,Silver Lakes,"5,966"
603,West Modesto,"5,911"
604,Gustine,"5,882"
605,Las Flores,"5,877"
606,Durham,"5,863"
607,Hilmar-Irwin,"5,846"
608,Solvang,"5,838"
609,Mayflower Village,"5,822"
610,Elverta,"5,821"
611,El Granada,"5,819"
612,Aptos,"5,797"
613,Villa Park,"5,790"
614,Cutler,"5,774"
615,Strawberry,"5,759"
616,Greenacres,"5,757"
617,Cambria,"5,725"
618,Yosemite Lakes,"5,647"
619,Twin Lakes,"5,642"
620,Salton City,"5,611"
621,Rancho Murieta,"5,603"
622,Palermo,"5,544"
623,Old Fig Garden,"5,529"
624,Dos Palos,"5,527"
625,El Cerrito,"5,471"
626,Indian Wells,"5,470"
627,Woodside,"5,458"
628,Bear Valley Springs,"5,442"
629,Lucerne Valley,"5,423"
630,Kensington,"5,415"
631,Williams,"5,408"
632,Tara Hills,"5,405"
633,Jamul,"5,384"
